City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Camocim,-2.9022,-40.8411,81.72,81,100,9.69,BR,1615994063
Iqaluit,63.7506,-68.5145,-11.0,64,75,2.17,CA,1615993901
Tuatapere,-46.1333,167.6833,43.0,90,4,3.42,NZ,1615994064
Port Alfred,-33.5906,26.891,73.26,81,68,14.9,ZA,1615994064
San Cristobal,7.7669,-72.225,75.2,100,75,4.36,VE,1615994064
Jamestown,42.097,-79.2353,35.6,93,90,3.87,US,1615994064
Cape Town,-33.9258,18.4232,82.0,57,0,16.11,ZA,1615993952
Mogadishu,2.0371,45.3438,84.2,65,20,12.66,SO,1615994065
Galle,6.0367,80.217,80.51,78,100,6.22,LK,1615993853
Busselton,-33.65,115.3333,64.0,93,46,10.6,AU,1615994065
Mataura,-46.1927,168.8643,43.0,90,1,2.06,NZ,1615994066
Nhulunbuy,-12.2333,136.7667,78.8,89,100,4.54,AU,1615994066
Bilibino,68.0546,166.4372,-24.38,99,41,2.08,RU,1615994066
Ushuaia,-54.8,-68.3,50.0,66,0,14.97,AR,1615993888
Rikitea,-23.1203,-134.9692,78.66,72,74,11.05,PF,1615994067
Yerbogachën,61.2767,108.0108,10.67,94,92,6.04,RU,1615994067
Arlit,18.7369,7.3853,103.1,8,45,16.02,NE,1615994067
Sitka,57.0531,-135.33,39.2,70,75,17.27,US,1615994067
Bacabal,-4.2917,-44.7917,81.95,87,77,4.61,BR,1615994068
Butaritari,3.0707,172.7902,79.72,79,91,12.73,KI,1615994068
Nanortalik,60.1432,-45.2371,37.63,82,88,28.3,GL,1615994068
Tabory,58.5198,64.5495,29.3,91,100,6.42,RU,1615994069
Yatou,37.15,122.3833,40.23,40,17,7.11,CN,1615994069
Namatanai,-3.6667,152.4333,80.04,76,98,4.85,PG,1615994069
Avera,33.194,-82.5271,53.6,88,90,5.75,US,1615994069
Longyearbyen,78.2186,15.6401,-0.4,42,0,12.66,SJ,1615994070
Kapaa,22.0752,-159.319,70.0,73,90,20.71,US,1615994070
Moyale,3.5167,39.0584,69.24,83,100,18.05,KE,1615994070
Barrow,71.2906,-156.7887,-5.8,77,90,6.91,US,1615993982
Xining,36.6167,101.7667,40.62,43,0,1.14,CN,1615994071
Talnakh,69.4865,88.3972,-6.99,97,100,6.96,RU,1615994071
Grindavik,63.8424,-22.4338,44.6,100,90,24.16,IS,1615994071
Bredasdorp,-34.5322,20.0403,75.2,57,54,14.97,ZA,1615994072
Imeni Vorovskogo,55.7233,38.3414,32.0,80,40,4.47,RU,1615994072
Fort Nelson,58.8053,-122.7002,19.4,79,75,3.44,CA,1615994072
Nikolskoye,59.7035,30.7861,33.01,86,90,6.71,RU,1615994073
Samarai,-10.6167,150.6667,81.23,77,91,3.11,PG,1615994073
Hobart,-42.8794,147.3294,55.99,87,4,2.3,AU,1615993988
Mount Gambier,-37.8333,140.7667,60.8,77,7,3.44,AU,1615994073
Dikson,73.5069,80.5464,-23.87,99,91,10.11,RU,1615994074
Saskylakh,71.9167,114.0833,-23.13,94,100,8.21,RU,1615994074
Turaif,31.6725,38.6637,69.8,43,0,9.22,SA,1615994074
Tezu,27.9167,96.1667,74.07,31,54,4.18,IN,1615994074
Hermanus,-34.4187,19.2345,77.0,67,1,5.01,ZA,1615994075
Souillac,-20.5167,57.5167,80.6,65,20,9.22,MU,1615994075
Bluff,-46.6,168.3333,43.0,90,8,4.54,NZ,1615994075
Punta Arenas,-53.15,-70.9167,51.8,62,75,31.07,CL,1615993885
Atuona,-9.8,-139.0333,80.08,73,27,9.98,PF,1615994076
Maragogi,-9.0122,-35.2225,84.58,58,1,9.26,BR,1615994076
Kavieng,-2.5744,150.7967,82.96,70,96,7.2,PG,1615994076
Khatanga,71.9667,102.5,-28.97,96,100,10.16,RU,1615994077
